Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award?,KMeans_Cluster,DBSCAN_Cluster
92336,0,2,1,1,11214,6,0,0,6884,0,1,0
36924,0,1,1,1,5900,6,300,2,6879,1,2,-1
70312,0,3,1,1,34678,24,500,1,6875,1,2,1
1300,0,1,1,1,370,1,0,0,6868,0,1,0
118531,0,4,1,1,44577,38,0,0,6868,1,0,-1
121395,0,1,1,1,4970,8,650,2,6889,1,2,-1
38348,0,1,1,1,0,0,0,0,6861,0,1,0
14448,0,1,1,1,1625,6,0,0,6856,0,1,0
75971,0,4,1,1,34339,14,0,0,6869,0,0,0
38077,0,3,1,1,34024,8,0,0,6837,0,0,0
134457,0,3,1,1,15588,14,0,0,6861,0,0,0
19918,0,1,1,1,17601,11,0,0,6863,0,1,0
10120,0,1,1,1,0,0,0,0,6864,0,1,0
80250,0,1,1,1,895,2,0,0,6833,0,1,0
9375,0,1,1,1,1750,7,0,0,6826,0,1,0
83237,0,4,1,1,35287,18,0,0,6837,0,0,0
47457,0,3,1,1,12621,16,0,0,7766,1,0,2
123867,0,3,1,1,25308,17,0,0,7759,0,0,0
129871,0,3,1,1,15776,22,0,0,7752,0,0,0
109380,0,1,1,1,7537,16,0,0,7749,0,0,0
111157,0,4,1,1,32883,19,0,0,7771,0,0,0
49238,0,4,1,1,38037,18,0,0,7801,1,0,2
4340,0,1,1,1,32685,5,0,0,7733,1,0,2
8454,0,1,1,1,498,9,0,0,6821,0,1,0
61990,0,1,1,1,1625,6,0,0,6833,0,1,0
24093,0,1,1,1,1750,7,0,0,6819,0,1,0
40284,0,1,1,1,7719,5,0,0,6827,1,1,2
62553,0,2,1,1,7672,16,700,1,6819,0,2,-1
48433,0,1,1,1,3500,4,500,1,6807,1,2,1
78629,0,4,1,1,36679,25,0,0,6817,1,0,2
16796,0,1,1,1,2875,16,0,0,6773,0,1,0
57346,0,1,1,1,5560,23,0,0,6766,0,1,0
102062,0,4,1,1,44247,16,0,0,6758,0,0,0
22324,0,1,1,1,1375,4,0,0,6753,0,1,0
64824,0,3,1,1,20184,13,0,0,6770,1,0,2
8053,0,1,1,1,0,0,0,0,6750,1,1,2
35119,0,1,1,1,0,0,0,0,6749,0,1,0
34327,0,1,1,1,0,0,0,0,6745,0,1,0
43498,0,1,1,1,0,0,0,0,6759,1,1,2
84674,0,4,1,1,46335,14,50,1,6738,1,0,1
181019,0,3,1,1,18415,15,0,0,7714,0,0,0
56906,0,1,1,1,2015,13,0,0,7707,1,1,2
67018,0,3,1,1,23260,25,0,0,7698,0,0,0
143967,0,2,1,1,7346,11,0,0,7689,0,0,0
122705,0,3,1,1,24222,15,0,0,7682,1,0,2
16583,0,1,1,1,2625,7,0,0,7682,1,1,2
77540,0,1,1,1,1000,1,0,0,7683,0,1,0
47258,0,3,1,1,24768,19,0,0,7659,1,0,2
77699,0,4,1,1,42775,13,0,0,7654,0,0,0
48333,0,2,1,1,10123,14,0,0,6737,1,0,2
142175,0,4,1,1,37461,22,0,0,6732,1,0,2
17469,0,1,1,1,0,0,0,0,6730,1,1,2
19823,0,1,1,1,1095,3,335,1,6730,1,2,1
145074,0,1,1,1,8000,4,0,0,6746,1,0,2
125948,0,3,1,1,15155,15,0,0,6761,1,0,2
129298,0,4,1,1,29099,15,0,0,6722,0,0,0
160447,0,1,1,1,8578,25,0,0,6716,1,0,2
15472,0,1,1,1,3500,14,0,0,6715,0,1,0
39628,0,1,1,1,0,0,0,0,6711,0,1,0
6112,0,1,1,1,0,0,0,0,6709,0,1,0
31769,0,1,1,1,450,2,450,2,6707,0,2,4
126787,0,4,1,1,35021,17,0,0,6701,0,0,0
41547,0,3,1,1,16857,17,0,0,6697,0,0,0
18707,0,1,1,1,100,1,0,0,6693,0,1,0
84631,0,3,1,1,20415,17,0,0,6736,0,0,0
24868,0,1,1,1,205,5,0,0,6689,0,1,0
87474,0,1,1,1,4581,15,0,0,7634,0,1,0
48707,0,4,1,1,37655,14,0,0,7631,1,0,2
44182,0,3,1,1,12313,12,0,0,7619,1,0,2
46823,0,1,1,1,5860,12,0,0,7613,0,1,0
69110,0,3,1,1,18500,19,0,0,7598,0,0,0
10302,0,4,1,1,30298,19,0,0,7591,1,0,2
80331,0,3,1,1,15489,18,0,0,7634,1,0,2
69882,0,1,1,1,180,6,0,0,7582,0,1,0
95658,0,1,1,1,5269,18,0,0,7584,0,1,0
21694,0,4,1,1,45230,20,700,2,7575,1,2,-1
35820,0,1,1,1,0,0,0,0,7575,0,1,0
120941,0,4,1,1,42301,21,0,0,7588,0,0,0
106961,0,1,1,1,7357,19,200,2,7572,1,2,-1
60230,0,1,1,1,500,1,0,0,7544,1,1,2
48145,0,1,1,1,10735,27,0,0,7540,0,0,0
32948,0,1,1,1,50,1,50,1,7569,0,1,3
8933,0,2,1,1,8860,14,0,0,7533,1,0,2
49885,0,3,1,1,23640,17,0,0,7533,0,0,0
89999,0,3,1,1,11694,13,0,0,7530,0,0,0
72173,0,1,1,1,2954,13,232,1,7509,0,2,3
24523,0,1,1,1,100,1,0,0,7493,1,1,2
134601,0,1,1,1,0,0,0,0,7493,0,1,0
108341,0,3,1,1,19670,21,0,0,7488,0,0,0
118940,0,4,1,1,36001,17,150,1,7484,1,0,-1
41385,0,4,1,1,26948,14,0,0,7481,1,0,2
16230,0,1,1,1,486,2,0,0,7477,0,1,0
37348,0,1,1,1,0,0,0,0,7472,0,1,0
51468,0,1,1,1,2278,9,0,0,7460,0,1,0
27381,0,3,1,1,18009,18,0,0,7524,1,0,2
6854,0,1,1,1,0,0,0,0,7467,0,1,0
31588,0,1,1,1,2947,8,0,0,7463,0,1,0
8298,0,3,1,1,20087,15,0,0,7498,1,0,2
114356,0,4,1,1,27308,14,0,0,7456,0,0,0
1344,0,1,1,1,1134,9,0,0,7498,0,1,0
59797,0,1,1,1,7069,4,0,0,7444,0,1,0
189053,0,3,1,1,24156,22,0,0,7439,1,0,2
143481,0,4,1,1,45891,15,0,0,7437,0,0,0
75039,0,1,1,1,2750,10,250,1,7435,1,2,-1
20203,0,1,1,1,750,6,0,0,7467,0,1,0
193976,0,3,1,1,10849,14,0,0,7416,0,0,0
98224,0,2,1,1,5570,11,0,0,7467,0,0,0
119239,0,4,1,1,36362,15,250,1,7467,1,0,-1
53715,0,2,1,1,7164,15,300,2,7416,0,2,4
133309,0,3,1,1,23987,13,0,0,7415,1,0,2
81380,0,5,1,1,56524,22,0,0,7404,1,0,2
22074,0,1,1,1,6039,15,0,0,7404,0,1,0
24051,0,2,1,1,8764,13,0,0,7395,1,0,2
11449,0,2,1,1,9057,13,0,0,7397,1,0,2
182317,0,2,1,1,19489,17,273,1,7397,1,2,-1
46184,0,1,1,1,3125,12,500,1,7388,0,2,3
15525,0,1,1,1,3853,6,0,0,7406,0,1,0
2075,0,2,1,1,5002,14,0,0,7374,1,0,2
15221,0,1,1,1,4425,9,0,0,7361,1,1,2
88702,0,2,1,1,9620,13,50,1,7406,0,0,3
62882,0,1,1,1,1925,8,0,0,7375,0,1,0
30015,0,1,1,1,5875,32,0,0,7341,0,0,0
45225,0,3,1,1,14711,15,0,0,7339,1,0,2
96098,0,1,1,1,12500,4,0,0,7339,1,0,2
25279,0,2,1,1,14938,26,0,0,7327,1,0,2
198137,0,1,1,1,6303,6,500,1,7323,0,2,-1
149733,0,1,1,1,605,3,500,1,7323,0,2,-1
70730,0,1,1,1,1319,12,0,0,7316,0,1,0
164613,0,2,1,1,11095,13,0,0,7375,0,0,0
105769,0,3,1,1,23097,16,0,0,7345,1,0,2
35900,0,1,1,1,0,0,0,0,7304,0,1,0
43088,0,1,1,1,4000,1,0,0,7345,0,1,0
145726,0,3,1,1,19019,15,0,0,7292,1,0,2
51250,0,1,1,1,0,0,0,0,7283,0,1,0
12895,0,1,1,1,0,0,0,0,7277,0,1,0
120073,0,3,1,1,12423,29,0,0,7276,1,0,-1
2003,0,1,1,1,980,2,0,0,7274,0,1,0
168515,0,1,1,1,4600,4,0,0,7269,0,1,0
79211,0,4,1,1,36776,14,0,0,7260,1,0,2
62998,0,2,1,1,11326,24,0,0,7253,0,0,0
45586,0,4,1,1,37459,15,0,0,7246,0,0,0
12195,0,1,1,1,3875,17,0,0,7229,0,1,0
16622,0,1,1,1,0,0,0,0,7229,0,1,0
141813,0,4,1,1,39743,14,0,0,7254,0,0,0
35945,0,1,1,1,0,0,0,0,7220,0,1,0
7061,0,1,1,1,7100,12,0,0,7218,0,1,0
125465,0,3,1,1,14750,9,0,0,7206,0,0,0
94222,0,4,1,1,52081,24,0,0,7201,1,0,2
123370,0,1,1,1,7478,16,0,0,7197,0,0,0
112969,0,2,1,1,7572,7,0,0,7192,0,0,0
46430,0,1,1,1,2100,4,500,1,7194,0,2,3
179433,0,4,1,1,30476,15,0,0,7187,0,0,0
20746,0,4,1,1,37534,17,0,0,7185,1,0,2
61455,0,4,1,1,28765,17,0,0,7183,1,0,2
16928,0,1,1,1,1000,1,0,0,7173,0,1,0
65316,0,1,1,1,3917,10,0,0,7254,0,1,0
52060,0,1,1,1,6500,3,0,0,7162,1,1,2
84700,0,3,1,1,13544,17,0,0,7162,0,0,0
20457,0,4,1,1,51399,16,0,0,7193,1,0,2
50325,0,3,1,1,11930,14,0,0,7155,0,0,0
73849,0,2,1,1,11793,21,0,0,7250,0,0,0
65573,0,1,1,1,3875,23,0,0,7130,0,1,0
47958,0,1,1,1,0,0,0,0,7130,0,1,0
133002,0,3,1,1,15672,21,150,1,7117,0,0,-1
42363,0,1,1,1,0,0,0,0,7120,1,1,2
133370,0,4,1,1,44299,18,0,0,7101,1,0,2
34956,0,1,1,1,0,0,0,0,7172,0,1,0
46963,0,1,1,1,1500,5,0,0,7117,0,1,0
55788,0,3,1,1,24831,12,0,0,7314,0,0,0
38718,0,1,1,1,0,0,0,0,7314,0,1,0
54005,0,1,1,1,1500,5,0,0,7099,0,1,0
66863,0,4,1,1,36532,9,0,0,7099,1,0,2
93045,0,3,1,1,17636,15,0,0,7092,0,0,0
151301,0,4,1,1,37772,14,0,0,7092,0,0,0
87938,0,1,1,1,11268,2,0,0,7085,1,1,2
15283,0,1,1,1,1250,3,0,0,7132,0,1,0
105423,0,3,1,1,20802,14,0,0,7078,0,0,0
13680,0,1,1,1,0,0,0,0,7073,1,1,2
25313,0,2,1,1,7491,13,0,0,7064,0,1,0
51088,0,1,1,1,0,0,0,0,7057,0,1,0
95305,0,1,1,1,3189,13,0,0,7054,0,1,0
11660,0,1,1,1,140,1,0,0,7050,0,1,0
16200,0,1,1,1,160,1,0,0,7043,0,1,0
38227,0,2,1,1,8612,13,0,0,7036,0,1,0
80214,0,1,1,1,500,1,500,1,7029,1,2,1
53985,0,1,1,1,1000,1,0,0,7029,1,1,2
14414,0,1,1,1,0,0,0,0,7024,0,1,0
44457,0,1,1,1,225,3,0,0,7026,0,1,0
138020,0,1,1,1,6568,15,0,0,7024,1,0,2
149678,0,1,1,1,0,0,0,0,7022,0,1,0
15113,0,2,1,1,10574,19,0,0,7017,1,0,2
22380,0,1,1,1,300,2,200,1,7010,0,1,3
146263,0,3,1,1,20853,21,350,1,7001,1,2,-1
24598,0,1,1,1,0,0,0,0,7040,0,1,0
76150,0,4,1,1,36907,17,0,0,6998,0,0,0
86853,0,4,1,1,42293,21,500,1,6980,0,2,3
67086,0,3,1,1,18157,16,0,0,6974,0,0,0
35969,0,2,1,1,11665,21,0,0,6977,0,0,0
53790,0,4,1,1,28717,19,0,0,8296,1,0,2
198859,0,3,1,1,17855,14,500,1,8296,0,2,-1
91939,0,1,1,1,1244,8,0,0,8296,0,1,0
54842,0,3,1,1,20792,15,0,0,8296,1,0,2
16999,0,1,1,1,140,1,0,0,8296,0,1,0
114713,0,1,1,1,7142,18,0,0,8296,0,0,0
1612,0,1,1,1,955,9,0,0,8296,0,1,0
97763,0,1,1,1,2000,9,0,0,8296,0,1,0
15129,0,1,1,1,0,0,0,0,8296,0,1,0
15669,0,1,1,1,1205,4,0,0,8296,0,1,0
26720,0,1,1,1,913,3,0,0,8296,0,1,0
56635,0,1,1,1,1024,8,359,2,8296,0,2,4
127297,0,2,1,1,8510,12,0,0,8296,0,0,0
8927,0,1,1,1,0,0,0,0,8296,0,1,0
6458,0,1,1,1,0,0,0,0,8296,0,1,0
5581,0,1,1,1,0,0,0,0,8296,0,1,0
10732,0,1,1,1,1296,6,0,0,8296,0,1,0
68963,0,4,1,1,37723,15,0,0,8296,0,0,0
58452,0,1,1,1,0,0,0,0,8296,0,1,0
109087,0,2,1,1,10462,16,0,0,8296,1,0,2
68286,0,3,1,1,22831,13,0,0,8296,1,0,2
68464,0,1,1,1,240,3,0,0,8296,1,1,2
23529,0,1,1,1,500,1,0,0,8296,0,1,0
190295,0,4,1,1,3501,15,0,0,8296,0,0,0
118844,0,4,1,1,28731,17,400,2,8289,1,2,-1
60493,0,1,1,1,9000,1,0,0,8289,0,1,0
87692,0,1,1,1,2310,6,500,1,8289,0,2,3
78028,0,4,1,1,36269,24,0,0,8289,0,0,0
17575,0,1,1,1,0,0,0,0,8289,1,1,2
50431,0,1,1,1,1000,1,0,0,8289,1,1,2
153597,0,5,1,1,56567,18,0,0,8289,0,0,0
2494,0,1,1,1,0,0,0,0,8289,0,1,0
96031,0,4,1,1,46588,21,0,0,8289,0,0,0
50052,0,4,1,1,49383,13,0,0,8289,1,0,2
13381,0,1,1,1,1000,8,0,0,8289,0,1,0
25123,0,1,1,1,2030,6,0,0,8289,0,1,0
132555,0,3,1,1,24775,31,350,1,8289,1,2,-1
24038,0,2,1,1,6290,14,0,0,8289,0,1,0
14732,0,1,1,1,100,1,0,0,8289,0,1,0
175461,0,4,1,1,40997,14,0,0,8289,1,0,2
52953,0,1,1,1,500,1,0,0,8289,0,1,0
182291,0,3,1,1,24155,22,0,0,8289,0,0,0
22772,0,1,1,1,0,0,0,0,8289,0,1,0
34170,0,3,1,1,15476,20,150,1,8289,1,0,1
158483,0,2,1,1,9018,11,0,0,8289,0,0,0
43285,0,4,1,1,28613,14,0,0,8252,1,0,2
52980,0,3,1,1,17078,14,0,0,8237,0,0,0
74342,0,1,1,1,4389,12,0,0,8228,0,1,0
139849,0,3,1,1,19946,15,0,0,8228,1,0,2
26080,0,2,1,1,9872,13,0,0,8228,1,0,2
29469,0,1,1,1,2522,4,0,0,8228,0,1,0
189252,0,1,1,1,2991,15,0,0,8228,0,0,0
83590,0,1,1,1,3708,22,0,0,8228,0,0,0
5600,0,1,1,1,125,1,0,0,8228,0,1,0
52005,0,3,1,1,11870,15,100,1,8228,0,0,-1
45494,0,1,1,1,5021,16,600,2,8228,0,2,-1
153108,0,4,1,1,25802,14,500,1,8137,0,2,-1
38716,0,2,1,1,8253,21,0,0,8114,0,0,0
40645,0,3,1,1,18348,13,0,0,8067,1,0,2
86345,0,3,1,1,13415,16,350,2,8009,0,2,-1
2701,0,1,1,1,5000,10,0,0,8002,1,1,2
46874,0,1,1,1,9689,38,500,1,7990,0,2,-1
12742,0,1,1,1,0,0,0,0,7966,0,1,0
10994,0,1,1,1,1250,3,0,0,8007,0,1,0
2318,0,2,1,1,8747,14,0,0,7945,1,0,2
11070,0,1,1,1,0,0,0,0,7939,1,1,2
21921,0,1,1,1,0,0,0,0,7939,0,1,0
162521,0,5,1,1,57354,25,0,0,8105,1,0,-1
86112,0,4,1,1,35528,22,0,0,8105,0,0,0
18328,0,1,1,1,0,0,0,0,6790,0,1,0
11504,0,1,1,1,100,1,0,0,6675,0,1,0
160703,0,4,1,1,32560,12,0,0,6666,0,0,0
910,0,1,1,1,5172,13,0,0,6662,1,1,2
94105,0,1,1,1,100,1,0,0,6676,0,1,0
18422,0,1,1,1,3297,13,0,0,6653,0,1,0
148318,0,4,1,1,51197,22,350,2,6648,1,2,-1
26149,0,1,1,1,5190,6,0,0,6646,0,1,0
76933,0,4,1,1,28075,17,0,0,6646,0,0,0
22878,0,1,1,1,9039,32,0,0,6641,1,0,2
134060,0,4,1,1,46606,13,0,0,6637,0,0,0
28930,0,1,1,1,8185,17,0,0,6630,0,1,0
58951,0,4,1,1,47994,15,500,1,6625,0,2,3
25395,0,1,1,1,2000,1,0,0,6624,0,1,0
109248,0,1,1,1,6828,11,0,0,6618,1,0,2
43387,0,1,1,1,4942,13,0,0,6613,0,1,0
52423,0,4,1,1,26926,13,0,0,6611,1,0,2
5410,0,4,1,1,45890,22,0,0,6603,1,0,2
18177,0,3,1,1,12040,12,0,0,6690,1,0,2
16648,0,1,1,1,625,4,0,0,6588,0,1,0
31478,0,3,1,1,18885,18,0,0,6578,1,0,2
17445,0,1,1,1,4500,3,500,1,6576,1,2,1
49052,0,4,1,1,46718,17,0,0,6575,1,0,2
21689,0,1,1,1,0,0,0,0,6570,0,1,0
18302,0,1,1,1,2197,10,0,0,6569,0,1,0
26220,0,1,1,1,2775,11,0,0,6647,0,1,0
59552,0,1,1,1,7551,22,0,0,6473,1,0,2
34962,0,1,1,1,252,3,0,0,6208,0,1,0
16153,0,1,1,1,180,1,0,0,6491,0,1,0
28931,0,1,1,1,6500,4,500,1,6354,1,2,1
202636,0,1,1,1,19000,5,0,0,6119,1,0,-1
63311,0,4,1,1,25048,14,0,0,6634,1,0,2
122700,0,3,1,1,18604,13,0,0,6556,0,0,0
81419,0,2,1,1,7769,12,350,1,6599,1,2,-1
13873,0,1,1,1,4833,20,0,0,6519,0,1,0
148,0,1,1,1,190,2,0,0,6507,0,1,0
178919,0,3,1,1,23387,17,0,0,6555,1,0,2
19702,0,1,1,1,3000,1,0,0,6554,1,1,2
18820,0,1,1,1,0,0,0,0,6549,0,1,0
28077,0,1,1,1,735,6,500,1,6575,0,2,3
4528,0,1,1,1,290,1,0,0,6565,0,1,0
40418,0,3,1,1,12678,12,0,0,6541,1,0,2
71235,0,4,1,1,41004,14,0,0,6535,0,0,0
148915,0,3,1,1,23522,16,650,2,6532,1,2,-1
35738,0,4,1,1,41264,16,0,0,6526,1,0,2
313,0,1,1,1,1600,1,0,0,6525,0,1,0
55703,0,1,1,1,0,0,0,0,6520,0,1,0
11613,0,1,1,1,2000,1,0,0,6519,1,1,2
65672,0,4,1,1,29089,13,0,0,6529,0,0,0
84785,0,1,1,1,4570,14,0,0,6514,0,1,0
51830,0,1,1,1,0,0,0,0,6507,0,1,0
3294,0,1,1,1,1330,2,0,0,6498,0,1,0
8250,0,1,1,1,250,2,0,0,6486,0,1,0
117670,0,5,1,1,53043,19,550,1,6505,0,2,3
49454,0,2,1,1,9548,22,250,1,6501,0,2,3
58421,0,1,1,1,1000,1,0,0,6532,0,1,0
33443,0,1,1,1,0,0,0,0,6476,0,1,0
13886,0,1,1,1,0,0,0,0,6465,0,1,0
15349,0,1,1,1,250,2,0,0,6457,0,1,0
78712,0,1,1,1,0,0,0,0,6433,0,1,0
89742,0,4,1,1,39073,13,0,0,6498,0,0,0
31311,0,1,1,1,3961,10,0,0,6494,0,1,0
136161,0,1,1,1,6032,15,0,0,6463,0,0,0
9998,0,1,1,1,0,0,0,0,6448,0,1,0
37904,0,3,1,1,19052,17,0,0,6487,1,0,2
41243,0,4,1,1,27971,7,300,1,6483,0,2,-1
5351,0,1,1,1,100,1,0,0,6450,0,1,0
23334,0,1,1,1,0,0,0,0,6441,0,1,0
11255,0,1,1,1,0,0,0,0,6428,0,1,0
48127,0,4,1,1,41447,28,0,0,6421,1,0,2
158895,0,4,1,1,41954,15,0,0,6525,0,0,0
34540,0,4,1,1,27882,13,0,0,6494,0,0,0
126409,0,4,1,1,28460,13,0,0,6478,0,0,0
112843,0,3,1,1,16137,14,0,0,6472,1,0,2
117240,0,1,1,1,1200,3,700,2,6471,1,2,-1
7216,0,3,1,1,21419,18,0,0,6470,1,0,2
26412,0,1,1,1,5086,2,0,0,6552,0,1,0
1846,0,1,1,1,450,1,0,0,6471,0,1,0
45830,0,2,1,1,23404,10,0,0,6459,0,0,0
39601,0,1,1,1,3733,9,0,0,6450,1,1,2
46142,0,3,1,1,14445,13,0,0,6452,1,0,2
122928,0,3,1,1,12211,14,0,0,6443,0,0,0
29861,0,4,1,1,28190,15,0,0,6407,1,0,2
126148,0,2,1,1,6273,8,0,0,6435,0,0,0
175131,0,5,1,1,53495,15,0,0,6431,1,0,2
105547,0,3,1,1,24973,26,500,1,6415,0,2,3
67615,0,3,1,1,14168,13,0,0,6413,0,0,0
33554,0,4,1,1,27410,16,350,1,6428,1,2,1
18111,0,1,1,1,4625,26,0,0,6463,0,1,0
41526,0,1,1,1,0,0,0,0,6406,0,1,0
38021,0,1,1,1,5538,9,0,0,6407,0,1,0
17500,0,1,1,1,0,0,0,0,6400,0,1,0
5906,0,1,1,1,280,1,0,0,6395,0,1,0
70133,0,2,1,1,7396,16,0,0,6392,0,0,0
32010,0,1,1,1,12315,6,650,2,6421,1,2,-1
82605,0,3,1,1,23049,15,0,0,6417,0,0,0
15219,0,1,1,1,0,0,0,0,6427,1,1,2
54889,0,2,1,1,13150,4,0,0,6438,0,1,0
8910,0,1,1,1,150,1,150,1,6413,0,1,3
49891,0,1,1,1,500,1,500,1,6392,0,2,3
10484,0,1,1,1,0,0,0,0,6375,0,1,0
15496,0,1,1,1,0,0,0,0,6324,0,1,0
16714,0,1,1,1,0,0,0,0,6214,0,1,0
25835,0,3,1,1,15153,15,0,0,6142,1,0,2
3487,0,1,1,1,710,1,0,0,6059,0,1,0
160572,0,1,1,1,8163,18,500,1,6403,1,2,-1
48410,0,4,1,1,37869,16,500,1,6395,1,2,1
33269,0,1,1,1,4675,10,200,1,6396,0,2,3
25685,0,1,1,1,185,3,0,0,6382,0,1,0
50500,0,1,1,1,4765,14,0,0,6380,0,1,0
97486,0,3,1,1,22707,15,0,0,6387,0,0,0
11821,0,1,1,1,10697,10,0,0,6387,1,1,2
37039,0,4,1,1,29976,18,0,0,6375,0,0,0
28306,0,1,1,1,233,3,0,0,6371,0,1,0
91974,0,3,1,1,19223,18,500,1,6372,1,2,1
104824,0,3,1,1,14582,15,0,0,6366,0,0,0
16061,0,1,1,1,2750,11,0,0,6366,0,1,0
55237,0,2,1,1,5547,14,0,0,6358,0,1,0
10491,0,1,1,1,5025,11,150,1,6357,0,1,3
45501,0,4,1,1,49656,17,316,1,6375,1,2,1
18661,0,1,1,1,0,0,0,0,6352,0,1,0
89668,0,4,1,1,29130,14,0,0,6350,0,0,0
53327,0,1,1,1,8650,6,650,2,6350,1,2,-1
133143,0,4,1,1,43643,14,50,1,6385,0,0,-1
22268,0,3,1,1,23582,15,200,1,6339,1,2,1
9601,0,3,1,1,20467,16,0,0,6338,1,0,2
9483,0,1,1,1,1000,1,0,0,6340,0,1,0
37381,0,1,1,1,6091,16,0,0,6332,0,1,0
31211,0,1,1,1,280,4,100,1,6330,0,1,3
79479,0,3,1,1,23167,13,0,0,6118,0,0,0
20162,0,1,1,1,2750,15,0,0,6324,0,1,0
105683,0,4,1,1,28386,17,0,0,6361,0,0,0
17334,0,1,1,1,6783,27,50,1,6318,0,1,3
57909,0,1,1,1,5150,4,0,0,6323,0,1,0
17949,0,1,1,1,0,0,0,0,6312,0,1,0
71543,0,1,1,1,0,0,0,0,6305,0,1,0
111897,0,3,1,1,14728,14,0,0,6310,0,0,0
61598,0,1,1,1,0,0,0,0,6311,0,1,0
32774,0,1,1,1,0,0,0,0,6304,1,1,2
137843,0,4,1,1,45416,24,250,1,6302,1,0,-1
30973,0,1,1,1,0,0,0,0,6298,0,1,0
16803,0,1,1,1,1287,6,0,0,6291,0,1,0
48161,0,4,1,1,41174,24,0,0,6294,1,0,2
21616,0,1,1,1,0,0,0,0,6291,0,1,0
13114,0,2,1,1,14029,13,0,0,6289,1,0,2
117120,0,4,1,1,41278,17,500,1,6288,0,2,3
52987,0,3,1,1,17510,15,0,0,6289,0,0,0
150176,0,4,1,1,29999,17,400,1,6284,0,2,3
19002,0,3,1,1,22675,21,0,0,6277,1,0,2
50675,0,1,1,1,1100,2,100,1,6282,0,1,3
65466,0,2,1,1,5488,13,0,0,6280,0,1,0
64280,0,3,1,1,21721,18,0,0,6280,1,0,2
14523,0,1,1,1,4197,4,0,0,6276,1,1,2
9157,0,1,1,1,75,2,0,0,6274,0,1,0
13781,0,4,1,1,48914,19,500,1,6269,1,2,1
40567,0,3,1,1,18122,16,0,0,6268,0,0,0
43090,0,3,1,1,11411,10,0,0,6259,0,0,0
1875,0,1,1,1,1250,3,0,0,6266,0,1,0
126555,0,4,1,1,41253,19,0,0,6280,1,0,2
16472,0,4,1,1,45517,12,0,0,6262,1,0,2
21270,0,1,1,1,318,10,0,0,6256,0,1,0
33410,0,1,1,1,818,12,0,0,6255,0,1,0
15750,0,1,1,1,1065,3,0,0,6254,1,1,2
104665,0,2,1,1,9547,12,0,0,6249,0,0,0
41967,0,1,1,1,2125,10,0,0,6247,0,1,0
35026,0,1,1,1,9799,27,500,1,6247,0,2,-1
138411,0,5,1,1,53843,14,0,0,6247,0,0,0
127693,0,3,1,1,17383,15,0,0,6246,1,0,2
52050,0,4,1,1,43190,14,0,0,6245,1,0,2
37162,0,1,1,1,0,0,0,0,6241,0,1,0
66572,0,2,1,1,8048,14,450,2,6240,1,2,-1
79561,0,1,1,1,6333,12,400,2,6231,0,2,4
131528,0,2,1,1,10365,17,500,1,6227,0,2,3
11820,0,1,1,1,2045,5,0,0,6227,0,1,0
20810,0,1,1,1,1713,13,0,0,6225,0,1,0
96477,0,1,1,1,2987,13,0,0,6221,1,0,2
106471,0,1,1,1,8444,5,100,1,6220,0,1,3
33374,0,3,1,1,20441,13,0,0,6214,1,0,2
26740,0,1,1,1,619,7,0,0,6213,0,1,0
76737,0,4,1,1,34648,31,0,0,6211,0,0,0
